ticker,timestamp,last_close,trade_side_refined_v6,trusted_directional_bias,trusted_scan_decision,interaction_state,controller_reason,secondary_structure,background_context,structure_alignment_score_v6,distance_to_structure,velocity_proxy,velocity_band,final_live_score,tier_live,setup_label,side,vel,entry,stop,target_1,target_2,risk,shares
SNDK,2026-03-16 19:30:00,708.0001220703125,Long,Up,Continuation candidate,Acceptance through upper edge,Closest zone fallback,ACTIVE_ZONE_004 | ACTIVE | 662.25 → 687.43,ACTIVE_ZONE_003 | ACTIVE | 651.99 → 653.66,80,20.57012207031255,78.75,Fast,179.32012207031255,Tier 2,Long | Fast,Long,Fast,708.0001220703125,,,,,
MU,2026-03-18 19:30:00,466.5101013183594,Long,Up,Continuation candidate,Acceptance through upper edge,Nearest ACTIVE zone is locally controlling,HTF_ZONE_016 | HTF | 429.35 → 437.75,ACTIVE_ZONE_002 | ACTIVE | 426.23 → 450.63,80,15.88010131835938,78.75,Fast,174.63010131835938,Tier 2,Long | Fast,Long,Fast,466.5101013183594,,,,,
WDC,2026-03-17 16:00:00,300.95001220703125,Long,Up,Continuation candidate,Acceptance through upper edge,Closest zone fallback,ACTIVE_ZONE_006 | ACTIVE | 272.44 → 288.45,HTF_ZONE_024 | HTF | 278.44 → 278.77,80,12.500012207031261,70.75,Fast,163.25001220703126,Tier 2,Long | Fast,Long,Fast,300.95001220703125,,,,,
VRT,2026-03-17 18:00:00,270.3999938964844,Long,Up,Continuation candidate,Acceptance through upper edge,Closest zone fallback,HTF_ZONE_003 | HTF | 70.75 → 255.00,ACTIVE_ZONE_001 | ACTIVE | 258.61 → 258.69,80,11.709993896484377,70.75,Fast,162.45999389648438,Tier 2,Long | Fast,Long,Fast,270.3999938964844,,,,,
BE,2026-03-20 13:30:00,165.30999755859375,Long,Up,Continuation candidate,Acceptance through upper edge,Closest zone fallback,ACTIVE_ZONE_002 | ACTIVE | 151.80 → 161.94,HTF_ZONE_017 | HTF | 153.46 → 154.00,80,3.3699975585937523,68.25,Steady,155.78666422526044,Tier 3,Long | Steady,Long,Steady,165.30999755859375,,,,,
STX,2026-03-20 13:30:00,438.489990234375,Long,Up,Continuation candidate,Acceptance through upper edge,Closest zone fallback,ACTIVE_ZONE_002 | ACTIVE | 381.73 → 435.93,HTF_ZONE_015 | HTF | 394.99 → 395.63,80,2.559990234374993,68.25,Steady,154.97665690104168,Tier 3,Long | Steady,Long,Steady,438.489990234375,,,,,
RCAT,2026-03-20 18:30:00,13.319999694824219,Short,Down,Continuation candidate,Acceptance through lower edge,Closest zone fallback,HTF_ZONE_004 | HTF | 4.86 → 12.73,ACTIVE_ZONE_002 | ACTIVE | 14.28 → 14.66,80,0.5899996948242183,66.0,Steady,151.5899996948242,Tier 3,Short | Steady,Short,Steady,13.319999694824219,,,,,
SEI,2026-03-20 17:30:00,61.7400016784668,Long,Up,Continuation candidate,Acceptance through upper edge,Closest zone fallback,ACTIVE_ZONE_003 | ACTIVE | 62.35 → 69.61,ACTIVE_ZONE_002 | ACTIVE | 51.84 → 59.55,80,0.6099983215332045,66.0,Steady,151.44333165486654,Tier 3,Long | Steady,Long,Steady,61.7400016784668,,,,,
TTMI,2026-03-20 18:30:00,89.26499938964844,Short,Down,Continuation candidate,Acceptance through lower edge,Closest zone fallback,ACTIVE_ZONE_001 | ACTIVE | 89.61 → 98.86,HTF_ZONE_015 | HTF | 78.11 → 81.00,80,0.34500061035156193,66.0,Steady,151.34500061035158,Tier 3,Short | Steady,Short,Steady,89.26499938964844,,,,,
KOS,2026-03-20 17:30:00,2.884999990463257,Short,Down,Continuation candidate,Acceptance through lower edge,Closest zone fallback,HTF_ZONE_003 | HTF | 2.96 → 3.06,ACTIVE_ZONE_001 | ACTIVE | 1.97 → 2.45,80,0.07500000953674313,66.0,Steady,150.90833334287007,Tier 3,Short | Steady,Short,Steady,2.884999990463257,,,,,
