ticker,timestamp,tier_live_v2,trade_side_refined_v6,interaction_state,last_close,distance_to_structure,velocity_band,entry,stop,target_1,target_2,risk_per_share,rr_target_1,rr_target_2,shares_at_100_risk,execution_status
AXTI,2026-03-23 17:30:00,Tier 1,Long,Acceptance through upper edge,62.904998779296875,7.724998779296875,Fast,62.9994,61.7413,64.0058,64.8865,1.2581,0.8,1.5,79,Ready
SNDK,2026-03-23 15:30:00,Tier 1,Long,Acceptance through upper edge,695.0,7.57000000000005,Fast,696.0425,690.83,700.2125,703.8612,5.2125,0.8,1.5,19,Ready
LRCX,2026-03-23 14:30:00,Tier 1,Short,Acceptance through lower edge,238.38999938964844,4.119999389648427,Fast,238.0324,240.5044,236.0548,234.3244,2.472,0.8,1.5,40,Ready
CIEN,2026-03-17 17:30:00,Tier 2,Long,Acceptance through upper edge,373.25,15.04000000000002,Fast,373.8099,366.3449,379.7819,385.0074,7.465,0.8,1.5,13,Ready
CRS,2026-03-19 13:30:00,Tier 2,Long,Acceptance through upper edge,367.3299865722656,7.889986572265627,Steady,367.881,363.147,371.6682,374.982,4.734,0.8,1.5,21,Ready
CVX,2026-03-20 16:30:00,Tier 2,Long,Acceptance through upper edge,204.30999755859375,6.949997558593736,Steady,204.6165,200.5303,207.8854,210.7458,4.0862,0.8,1.5,24,Ready
EOG,2026-03-19 14:00:00,Tier 2,Long,Acceptance through upper edge,139.35499572753906,6.234995727539058,Steady,139.564,136.7769,141.7937,143.7447,2.7871,0.8,1.5,35,Ready
CNR,2026-03-19 14:30:00,Tier 2,Short,Acceptance through lower edge,112.5,5.239999999999995,Steady,112.3312,114.5812,110.5312,108.9562,2.25,0.8,1.5,44,Ready
SII,2026-03-19 13:30:00,Tier 2,Long,Acceptance through upper edge,135.58999633789062,4.260003662109369,Slow,135.7934,133.2374,137.8382,139.6274,2.556,0.8,1.5,39,Ready
VRT,2026-03-17 19:30:00,Tier 2,Long,Acceptance through upper edge,269.05999755859375,4.169997558593764,Slow,269.4636,266.9616,271.4652,273.2166,2.502,0.8,1.5,39,Ready
PR,2026-03-19 15:00:00,Tier 2,Long,Acceptance through upper edge,20.0,3.6999999999999993,Slow,20.03,19.63,20.35,20.63,0.4,0.8,1.5,250,Ready
BTU,2026-03-19 16:30:00,Tier 2,Long,Acceptance through upper edge,40.36000061035156,2.48000061035156,Slow,40.4205,39.6133,41.0663,41.6313,0.8072,0.8,1.5,123,Ready
